,userID,articleID
0,USER_0000,ARTICLE_1325
1,USER_0000,ARTICLE_1568
2,USER_0000,ARTICLE_2147
3,USER_0000,ARTICLE_0561
4,USER_0000,ARTICLE_1281
5,USER_0001,ARTICLE_2045
6,USER_0001,ARTICLE_1601
7,USER_0001,ARTICLE_0682
8,USER_0001,ARTICLE_0446
9,USER_0001,ARTICLE_1568
10,USER_0002,ARTICLE_0436
11,USER_0002,ARTICLE_2868
12,USER_0002,ARTICLE_2045
13,USER_0002,ARTICLE_0502
14,USER_0002,ARTICLE_1384
15,USER_0003,ARTICLE_1918
16,USER_0003,ARTICLE_0360
17,USER_0003,ARTICLE_1965
18,USER_0003,ARTICLE_0436
19,USER_0003,ARTICLE_2782
20,USER_0004,ARTICLE_0561
21,USER_0004,ARTICLE_2868
22,USER_0004,ARTICLE_1672
23,USER_0004,ARTICLE_0399
24,USER_0004,ARTICLE_1881
25,USER_0005,ARTICLE_0446
26,USER_0005,ARTICLE_0220
27,USER_0005,ARTICLE_2651
28,USER_0005,ARTICLE_2309
29,USER_0005,ARTICLE_0061
30,USER_0006,ARTICLE_0553
31,USER_0006,ARTICLE_0060
32,USER_0006,ARTICLE_0061
33,USER_0006,ARTICLE_2651
34,USER_0006,ARTICLE_2656
35,USER_0007,ARTICLE_0446
36,USER_0007,ARTICLE_0784
37,USER_0007,ARTICLE_1577
38,USER_0007,ARTICLE_0931
39,USER_0007,ARTICLE_0399
40,USER_0008,ARTICLE_2868
41,USER_0008,ARTICLE_0446
42,USER_0008,ARTICLE_0553
43,USER_0008,ARTICLE_2259
44,USER_0008,ARTICLE_2782
45,USER_0009,ARTICLE_1601
46,USER_0009,ARTICLE_2045
47,USER_0009,ARTICLE_2493
48,USER_0009,ARTICLE_0931
49,USER_0009,ARTICLE_0610
50,USER_0010,ARTICLE_1267
51,USER_0010,ARTICLE_1905
52,USER_0010,ARTICLE_2112
53,USER_0010,ARTICLE_0220
54,USER_0010,ARTICLE_0451
55,USER_0011,ARTICLE_2045
56,USER_0011,ARTICLE_0436
57,USER_0011,ARTICLE_2894
58,USER_0011,ARTICLE_0203
59,USER_0011,ARTICLE_1824
60,USER_0012,ARTICLE_1568
61,USER_0012,ARTICLE_0561
62,USER_0012,ARTICLE_0162
63,USER_0012,ARTICLE_1901
64,USER_0012,ARTICLE_2311
65,USER_0013,ARTICLE_1744
66,USER_0013,ARTICLE_2112
67,USER_0013,ARTICLE_0699
68,USER_0013,ARTICLE_0061
69,USER_0013,ARTICLE_0446
70,USER_0014,ARTICLE_1624
71,USER_0014,ARTICLE_2045
72,USER_0014,ARTICLE_0446
73,USER_0014,ARTICLE_0693
74,USER_0014,ARTICLE_2865
75,USER_0015,ARTICLE_2868
76,USER_0015,ARTICLE_0968
77,USER_0015,ARTICLE_2372
78,USER_0015,ARTICLE_0365
79,USER_0015,ARTICLE_2021
80,USER_0016,ARTICLE_0446
81,USER_0016,ARTICLE_0336
82,USER_0016,ARTICLE_0399
83,USER_0016,ARTICLE_0693
84,USER_0016,ARTICLE_0220
85,USER_0017,ARTICLE_1620
86,USER_0017,ARTICLE_2259
87,USER_0017,ARTICLE_2868
88,USER_0017,ARTICLE_0610
89,USER_0017,ARTICLE_0323
90,USER_0018,ARTICLE_0886
91,USER_0018,ARTICLE_2485
92,USER_0018,ARTICLE_2706
93,USER_0018,ARTICLE_0079
94,USER_0018,ARTICLE_0169
95,USER_0019,ARTICLE_2045
96,USER_0019,ARTICLE_2259
97,USER_0019,ARTICLE_0968
98,USER_0019,ARTICLE_2782
99,USER_0019,ARTICLE_1965
100,USER_0020,ARTICLE_0220
101,USER_0020,ARTICLE_0061
102,USER_0020,ARTICLE_1601
103,USER_0020,ARTICLE_2868
104,USER_0020,ARTICLE_2148
