,userID,articleID
0,USER_0000,ARTICLE_1568
1,USER_0000,ARTICLE_1325
2,USER_0000,ARTICLE_2368
3,USER_0000,ARTICLE_2147
4,USER_0000,ARTICLE_0561
5,USER_0001,ARTICLE_2045
6,USER_0001,ARTICLE_1601
7,USER_0001,ARTICLE_1568
8,USER_0001,ARTICLE_2782
9,USER_0001,ARTICLE_0446
10,USER_0002,ARTICLE_2868
11,USER_0002,ARTICLE_2045
12,USER_0002,ARTICLE_1568
13,USER_0002,ARTICLE_0436
14,USER_0002,ARTICLE_1384
15,USER_0003,ARTICLE_1918
16,USER_0003,ARTICLE_1965
17,USER_0003,ARTICLE_2782
18,USER_0003,ARTICLE_0360
19,USER_0003,ARTICLE_0436
20,USER_0004,ARTICLE_2868
21,USER_0004,ARTICLE_0561
22,USER_0004,ARTICLE_2865
23,USER_0004,ARTICLE_1672
24,USER_0004,ARTICLE_1881
25,USER_0005,ARTICLE_0446
26,USER_0005,ARTICLE_0061
27,USER_0005,ARTICLE_0220
28,USER_0005,ARTICLE_0784
29,USER_0005,ARTICLE_2309
30,USER_0006,ARTICLE_0553
31,USER_0006,ARTICLE_0061
32,USER_0006,ARTICLE_0399
33,USER_0006,ARTICLE_0784
34,USER_0006,ARTICLE_1881
35,USER_0007,ARTICLE_0446
36,USER_0007,ARTICLE_0784
37,USER_0007,ARTICLE_0061
38,USER_0007,ARTICLE_0399
39,USER_0007,ARTICLE_0220
40,USER_0008,ARTICLE_2868
41,USER_0008,ARTICLE_0446
42,USER_0008,ARTICLE_2259
43,USER_0008,ARTICLE_0784
44,USER_0008,ARTICLE_0553
45,USER_0009,ARTICLE_2045
46,USER_0009,ARTICLE_1601
47,USER_0009,ARTICLE_2782
48,USER_0009,ARTICLE_0968
49,USER_0009,ARTICLE_2406
50,USER_0010,ARTICLE_1267
51,USER_0010,ARTICLE_2259
52,USER_0010,ARTICLE_0220
53,USER_0010,ARTICLE_2112
54,USER_0010,ARTICLE_1905
55,USER_0011,ARTICLE_2045
56,USER_0011,ARTICLE_0436
57,USER_0011,ARTICLE_2868
58,USER_0011,ARTICLE_1824
59,USER_0011,ARTICLE_0203
60,USER_0012,ARTICLE_1568
61,USER_0012,ARTICLE_0561
62,USER_0012,ARTICLE_0162
63,USER_0012,ARTICLE_1901
64,USER_0012,ARTICLE_2311
65,USER_0013,ARTICLE_0061
66,USER_0013,ARTICLE_1744
67,USER_0013,ARTICLE_2112
68,USER_0013,ARTICLE_2698
69,USER_0013,ARTICLE_0446
70,USER_0014,ARTICLE_2045
71,USER_0014,ARTICLE_1624
72,USER_0014,ARTICLE_2865
73,USER_0014,ARTICLE_2782
74,USER_0014,ARTICLE_0446
75,USER_0015,ARTICLE_2868
76,USER_0015,ARTICLE_0968
77,USER_0015,ARTICLE_2372
78,USER_0015,ARTICLE_2045
79,USER_0015,ARTICLE_2021
80,USER_0016,ARTICLE_0061
81,USER_0016,ARTICLE_2698
82,USER_0016,ARTICLE_0446
83,USER_0016,ARTICLE_2259
84,USER_0016,ARTICLE_0693
85,USER_0017,ARTICLE_2868
86,USER_0017,ARTICLE_2259
87,USER_0017,ARTICLE_1620
88,USER_0017,ARTICLE_1672
89,USER_0017,ARTICLE_2865
90,USER_0018,ARTICLE_0886
91,USER_0018,ARTICLE_2485
92,USER_0018,ARTICLE_2706
93,USER_0018,ARTICLE_0079
94,USER_0018,ARTICLE_0169
95,USER_0019,ARTICLE_2045
96,USER_0019,ARTICLE_2782
97,USER_0019,ARTICLE_2259
98,USER_0019,ARTICLE_1601
99,USER_0019,ARTICLE_0968
100,USER_0020,ARTICLE_0061
101,USER_0020,ARTICLE_0220
102,USER_0020,ARTICLE_2868
103,USER_0020,ARTICLE_1601
104,USER_0020,ARTICLE_0693
105,USER_0021,ARTICLE_2259
106,USER_0021,ARTICLE_0446
107,USER_0021,ARTICLE_0061
108,USER_0021,ARTICLE_2698
109,USER_0021,ARTICLE_0220
110,USER_0022,ARTICLE_2782
111,USER_0022,ARTICLE_0446
112,USER_0022,ARTICLE_2045
113,USER_0022,ARTICLE_0784
114,USER_0022,ARTICLE_0220
115,USER_0023,ARTICLE_1601
116,USER_0023,ARTICLE_2868
117,USER_0023,ARTICLE_2782
118,USER_0023,ARTICLE_2045
119,USER_0023,ARTICLE_0968
120,USER_0024,ARTICLE_2045
121,USER_0024,ARTICLE_0436
122,USER_0024,ARTICLE_2868
123,USER_0024,ARTICLE_1568
124,USER_0024,ARTICLE_2259
125,USER_0025,ARTICLE_2868
126,USER_0025,ARTICLE_2782
127,USER_0025,ARTICLE_1568
128,USER_0025,ARTICLE_2865
129,USER_0025,ARTICLE_1624
130,USER_0026,ARTICLE_2868
131,USER_0026,ARTICLE_2045
132,USER_0026,ARTICLE_2782
133,USER_0026,ARTICLE_1601
134,USER_0026,ARTICLE_2865
135,USER_0027,ARTICLE_2782
136,USER_0027,ARTICLE_1568
137,USER_0027,ARTICLE_2868
138,USER_0027,ARTICLE_2045
139,USER_0027,ARTICLE_0399
140,USER_0028,ARTICLE_2868
141,USER_0028,ARTICLE_1601
142,USER_0028,ARTICLE_0436
143,USER_0028,ARTICLE_1568
144,USER_0028,ARTICLE_0968
145,USER_0029,ARTICLE_2782
146,USER_0029,ARTICLE_1568
147,USER_0029,ARTICLE_0968
148,USER_0029,ARTICLE_0664
149,USER_0029,ARTICLE_2868
150,USER_0030,ARTICLE_1381
151,USER_0030,ARTICLE_0597
152,USER_0030,ARTICLE_0912
153,USER_0030,ARTICLE_0502
154,USER_0030,ARTICLE_2868
155,USER_0031,ARTICLE_1601
156,USER_0031,ARTICLE_0968
157,USER_0031,ARTICLE_2865
158,USER_0031,ARTICLE_0436
159,USER_0031,ARTICLE_2126
160,USER_0032,ARTICLE_0693
161,USER_0032,ARTICLE_2865
162,USER_0032,ARTICLE_2868
163,USER_0032,ARTICLE_0682
164,USER_0032,ARTICLE_1624
165,USER_0033,ARTICLE_0061
166,USER_0033,ARTICLE_2698
167,USER_0033,ARTICLE_1744
168,USER_0033,ARTICLE_0446
169,USER_0033,ARTICLE_2112
170,USER_0034,ARTICLE_2782
171,USER_0034,ARTICLE_2868
172,USER_0034,ARTICLE_0693
173,USER_0034,ARTICLE_1601
174,USER_0034,ARTICLE_0436
175,USER_0035,ARTICLE_2868
176,USER_0035,ARTICLE_2259
177,USER_0035,ARTICLE_0446
178,USER_0035,ARTICLE_0693
179,USER_0035,ARTICLE_2698
180,USER_0036,ARTICLE_2259
181,USER_0036,ARTICLE_1744
182,USER_0036,ARTICLE_1267
183,USER_0036,ARTICLE_0784
184,USER_0036,ARTICLE_0446
185,USER_0037,ARTICLE_0966
186,USER_0037,ARTICLE_0134
187,USER_0037,ARTICLE_2045
188,USER_0037,ARTICLE_2573
189,USER_0037,ARTICLE_1744
190,USER_0038,ARTICLE_0784
191,USER_0038,ARTICLE_0446
192,USER_0038,ARTICLE_1597
193,USER_0038,ARTICLE_2045
194,USER_0038,ARTICLE_2868
195,USER_0039,ARTICLE_2406
196,USER_0039,ARTICLE_2782
197,USER_0039,ARTICLE_2045
198,USER_0039,ARTICLE_2868
199,USER_0039,ARTICLE_1568
200,USER_0040,ARTICLE_0784
201,USER_0040,ARTICLE_0693
202,USER_0040,ARTICLE_2259
203,USER_0040,ARTICLE_1652
204,USER_0040,ARTICLE_0061
205,USER_0041,ARTICLE_0784
206,USER_0041,ARTICLE_0061
207,USER_0041,ARTICLE_2309
208,USER_0041,ARTICLE_1267
209,USER_0041,ARTICLE_2698
210,USER_0042,ARTICLE_1568
211,USER_0042,ARTICLE_2259
212,USER_0042,ARTICLE_2406
213,USER_0042,ARTICLE_2275
214,USER_0042,ARTICLE_0599
215,USER_0043,ARTICLE_2045
216,USER_0043,ARTICLE_1601
217,USER_0043,ARTICLE_2782
218,USER_0043,ARTICLE_2021
219,USER_0043,ARTICLE_2865
220,USER_0044,ARTICLE_1253
221,USER_0044,ARTICLE_0061
222,USER_0044,ARTICLE_2045
223,USER_0044,ARTICLE_1744
224,USER_0044,ARTICLE_1824
225,USER_0045,ARTICLE_2698
226,USER_0045,ARTICLE_1828
227,USER_0045,ARTICLE_1046
228,USER_0045,ARTICLE_1108
229,USER_0045,ARTICLE_1715
230,USER_0046,ARTICLE_0061
231,USER_0046,ARTICLE_2698
232,USER_0046,ARTICLE_0446
233,USER_0046,ARTICLE_2259
234,USER_0046,ARTICLE_2112
235,USER_0047,ARTICLE_2868
236,USER_0047,ARTICLE_1568
237,USER_0047,ARTICLE_0061
238,USER_0047,ARTICLE_2406
239,USER_0047,ARTICLE_0693
240,USER_0048,ARTICLE_0784
241,USER_0048,ARTICLE_1624
242,USER_0048,ARTICLE_0220
243,USER_0048,ARTICLE_0693
244,USER_0048,ARTICLE_2309
245,USER_0049,ARTICLE_2259
246,USER_0049,ARTICLE_0061
247,USER_0049,ARTICLE_1568
248,USER_0049,ARTICLE_2868
249,USER_0049,ARTICLE_1624
250,USER_0050,ARTICLE_0693
251,USER_0050,ARTICLE_0753
252,USER_0050,ARTICLE_1397
